restaurant name,restaurant type,cuisines type,rate (out of 5),avg cost (two people),area,local address,city
Darjeeling Momos & Fast Food Center,Quick Bites,"Fast Food, Momos",3.8,250.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Darshan Paradise Restaurant,Quick Bites,"North Indian, Chinese",2.8,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Daryaganj Chowk,Quick Bites,"North Indian, Fast Food",3.1,400.0,Malleshwaram,Sanjay Nagar,Bangalore
Dasaprakash Cafe,Cafe,Cafe,3.1,400.0,Brigade Road,MG Road,Bangalore
Dash In,Casual Dining,"North Indian, Chinese, Kerala",3.1,600.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Dashabhuja Kitchen & Catering,"Takeaway, Delivery","North Indian, Chinese",3.0,400.0,Old Airport Road,Thippasandra,Bangalore
Dastarkhan,Quick Bites,Mughlai,2.8,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Davanagere Bene Dosa Hotel,Quick Bites,South Indian,3.3,100.0,Malleshwaram,Rajajinagar,Bangalore
Davanagere Benne Dosa,Quick Bites,South Indian,2.8,150.0,Basavanagudi,Jayanagar,Bangalore
Davanagere Benne Dosa Hotel,Quick Bites,South Indian,3.1,150.0,Marathahalli,Kaggadasapura,Bangalore
Davanagere Benne Dose,Quick Bites,South Indian,3.9,150.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Davanagere Benne Dose Hut,Quick Bites,South Indian,3.4,100.0,Banashankari,Banashankari,Bangalore
Davanagere Butter Dosa Hotel,Quick Bites,South Indian,3.7,150.0,Rajajinagar,Basaveshwara Nagar,Bangalore
Davangere Benna Dose Hotel,Quick Bites,South Indian,4.1,100.0,Basavanagudi,Jayanagar,Bangalore
Davangere Butter Dosa Hotel,Quick Bites,South Indian,3.8,150.0,Banashankari,Kumaraswamy Layout,Bangalore
David's Kitchen,Quick Bites,"North Indian, South Indian, Chinese",3.5,200.0,Basavanagudi,BTM,Bangalore
Davis Bar And Restaurant,Bar,"North Indian, Finger Food, Chinese",3.0,700.0,Kalyan Nagar,Kammanahalli,Bangalore
Dawat,Quick Bites,"North Indian, Chinese",3.5,400.0,Brookefield,Marathahalli,Bangalore
Dawat E Biryani,Quick Bites,Biryani,2.8,200.0,Koramangala 4th Block,Koramangala 1st Block,Bangalore
Dawat Midnight Express,"Takeaway, Delivery","North Indian, Chinese",3.1,450.0,Brookefield,Marathahalli,Bangalore
Day N Night Kitchen,Delivery,"Biryani, Chinese, North Indian",3.2,450.0,Bannerghatta Road,BTM,Bangalore
Dazu Momoz,Kiosk,"Tibetan, Momos",3.1,200.0,Bannerghatta Road,Bannerghatta Road,Bangalore
D'Brooks,Quick Bites,"North Indian, Continental",3.4,400.0,Brookefield,Brookefield,Bangalore
D'Cafe,Cafe,"Cafe, Coffee, Continental",3.8,500.0,Indiranagar,Domlur,Bangalore
De Grand,Casual Dining,"North Indian, Chinese",3.3,600.0,Kalyan Nagar,Hennur,Bangalore
De Grand Restaurant,Quick Bites,"North Indian, Chinese",3.8,600.0,Kalyan Nagar,Banaswadi,Bangalore
De Oxford Cafe,Cafe,"Cafe, Beverages, Fast Food",3.7,500.0,Bannerghatta Road,JP Nagar,Bangalore
de Ranthal,Quick Bites,Kerala,3.8,300.0,HSR,HSR,Bangalore
De Street Cafe,Cafe,Cafe,3.6,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
De Thaali,Casual Dining,"North Indian, Chinese",3.9,550.0,Jayanagar,Jayanagar,Bangalore
De3 - The Eatery,Food Truck,Fast Food,3.1,250.0,Kalyan Nagar,North Bangalore,Bangalore
Debby's Kitchen,Quick Bites,"Modern Indian, American, Chinese",3.6,250.0,Church Street,Frazer Town,Bangalore
Deccan House,Quick Bites,"Hyderabadi, Biryani",4.0,350.0,Malleshwaram,New BEL Road,Bangalore
Deccan Kitchen,Casual Dining,"South Indian, North Indian",3.6,700.0,Marathahalli,Marathahalli,Bangalore
Deccan Spice,Casual Dining,"North Indian, South Indian, Biryani",3.5,750.0,Bannerghatta Road,JP Nagar,Bangalore
Deccan Spices,Quick Bites,"Biryani, Mughlai, Fast Food",3.7,500.0,Brigade Road,Richmond Road,Bangalore
Decker's Lane,Quick Bites,Bengali,2.1,400.0,Brookefield,Marathahalli,Bangalore
Deejas Kitchen,"Takeaway, Delivery","South Indian, Kerala",3.9,400.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Deepak Fast Food,Quick Bites,Fast Food,3.3,350.0,Marathahalli,Marathahalli,Bangalore
Deepak Paratha Plaza,Quick Bites,"North Indian, Street Food",3.5,200.0,New BEL Road,New BEL Road,Bangalore
Degchi Restaurant,Casual Dining,North Indian,3.7,600.0,Kalyan Nagar,Banaswadi,Bangalore
Dehati Murgee,Quick Bites,"North Indian, Mughlai",4.0,600.0,Brookefield,Whitefield,Bangalore
Deja Vu Resto Bar,Pub,"North Indian, Italian",4.4,900.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Delhi Base Sri Food Court,Quick Bites,"North Indian, South Indian, Chinese, Street Food",3.9,250.0,Electronic City,Electronic City,Bangalore
Delhi Belli,"Takeaway, Delivery",North Indian,3.3,500.0,Whitefield,Whitefield,Bangalore
Delhi Bhavan,Quick Bites,"Street Food, Mithai",3.3,150.0,Lavelle Road,Commercial Street,Bangalore
Delhi Biryani Cafe,Quick Bites,"North Indian, Biryani",3.4,250.0,Jayanagar,BTM,Bangalore
Delhi Delight Food Cafe,Quick Bites,"Chinese, North Indian",3.1,200.0,Marathahalli,Jeevan Bhima Nagar,Bangalore
Delhi Food Point,Quick Bites,"North Indian, Beverages",3.3,250.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Delhi Highway,Casual Dining,"North Indian, Mughlai",4.4,1500.0,MG Road,Indiranagar,Bangalore
Delhi Home Food,Quick Bites,"North Indian, South Indian",3.3,200.0,HSR,Koramangala 1st Block,Bangalore
Delhi Ke Bawarchi,Casual Dining,"North Indian, Chinese, Fast Food",4.0,500.0,Jayanagar,JP Nagar,Bangalore
Delhi Kitchen,"Takeaway, Delivery",North Indian,2.9,400.0,Brookefield,"ITPL Main Road, Whitefield",Bangalore
Delhi Mahal,Quick Bites,"North Indian, Mughlai, Chinese",3.1,400.0,Whitefield,Whitefield,Bangalore
Delhi Mess,Quick Bites,"North Indian, Chinese",4.1,300.0,New BEL Road,New BEL Road,Bangalore
Delhi Pizza House,Quick Bites,"Pizza, American",3.2,400.0,Electronic City,Electronic City,Bangalore
Delhi Restaurant,Quick Bites,"North Indian, Mughlai, Chinese",3.6,350.0,Brookefield,Whitefield,Bangalore
Delhi Sweets,Quick Bites,"Street Food, Mithai",3.1,100.0,Bannerghatta Road,JP Nagar,Bangalore
Delhi Walle,Quick Bites,"North Indian, Street Food",3.7,300.0,Brookefield,Whitefield,Bangalore
Delhiciouss,Quick Bites,"North Indian, Sandwich",3.7,300.0,Brookefield,Whitefield,Bangalore
Delhi's Essence,Quick Bites,North Indian,3.6,500.0,Electronic City,Electronic City,Bangalore
Delhite Food,Quick Bites,North Indian,3.4,300.0,Sarjapur Road,Bellandur,Bangalore
Delhiz Taste,Quick Bites,"North Indian, South Indian, Chinese",3.5,400.0,Kalyan Nagar,Nagawara,Bangalore
Deli Chats & Sweets,Quick Bites,"Street Food, Mithai",2.8,200.0,Bellandur,Bellandur,Bangalore
Deli Chats and Sweets,Quick Bites,"Street Food, Mithai",4.1,200.0,Bellandur,Marathahalli,Bangalore
Deli Counter - Gateway Hotel,Dessert Parlor,Bakery,3.5,500.0,Brigade Road,Residency Road,Bangalore
DeliBox.in,Delivery,South Indian,3.7,150.0,Bannerghatta Road,BTM,Bangalore
Delicacy,Casual Dining,"Chinese, Thai, Momos",3.8,500.0,Marathahalli,CV Raman Nagar,Bangalore
Delice - Novotel,"Dessert Parlor, Bakery","Desserts, Bakery",3.8,800.0,Bellandur,Marathahalli,Bangalore
Delices,Bakery,"Bakery, Desserts",3.1,400.0,Brigade Road,Ulsoor,Bangalore
Delicious Cakes,Dessert Parlor,Bakery,3.1,400.0,Marathahalli,Marathahalli,Bangalore
Delicious Demons,Delivery,Continental,3.3,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Delicious Desserts,Delivery,Desserts,3.5,750.0,Brookefield,Whitefield,Bangalore
Delicious Ice Cream Parlour,Dessert Parlor,"Ice Cream, Desserts",3.2,300.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Delicious Momos,Casual Dining,"Chinese, Momos",4.1,450.0,Kalyan Nagar,Kammanahalli,Bangalore
Delicious Mom's Kitchen,Quick Bites,"Bengali, North Indian",2.8,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Delifusion - Hunger Sorted,Quick Bites,"Continental, Chinese, North Indian",3.3,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Delight Fast Food & Restaurant,Casual Dining,"North Indian, Chinese",2.8,550.0,New BEL Road,Yeshwantpur,Bangalore
Delight Food,Casual Dining,"Andhra, Chinese, Biryani",2.6,450.0,Bannerghatta Road,BTM,Bangalore
Delightz,Dessert Parlor,"Desserts, Fast Food",4.0,300.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Delish Chinese Fast Food,Quick Bites,"Chinese, North Indian, Biryani",3.2,300.0,Kalyan Nagar,Banaswadi,Bangalore
Delisias,Bakery,Bakery,2.8,400.0,Brigade Road,Brigade Road,Bangalore
Delite Chaat House,Quick Bites,"Street Food, Gujarati",3.3,300.0,Marathahalli,Marathahalli,Bangalore
DeliToons,Quick Bites,"Sandwich, Pizza, Salad",4.0,300.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Delitz Creamvilla Cafe,"Cafe, Dessert Parlor","Cafe, Desserts, Ice Cream",3.9,600.0,Sarjapur Road,Bellandur,Bangalore
Delly Belly,Delivery,"North Indian, Mughlai",3.2,400.0,Koramangala 4th Block,Koramangala 6th Block,Bangalore
Deshi Fusion Pizza,Delivery,"Pizza, Chinese, Rolls",3.3,750.0,Brigade Road,Old Madras Road,Bangalore
Desi Aahar,Quick Bites,"North Indian, Chinese, Seafood",2.8,400.0,Jayanagar,BTM,Bangalore
Desi Adda,Quick Bites,"North Indian, Chinese",3.3,300.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Desi Bites,Casual Dining,"Rajasthani, North Indian, Chinese",3.7,600.0,Kalyan Nagar,Nagawara,Bangalore
Desi Breakk,Delivery,North Indian,3.3,150.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Desi Bytes,Quick Bites,"North Indian, Chinese",2.9,450.0,Whitefield,Whitefield,Bangalore
Desi Chats,Quick Bites,Street Food,3.9,200.0,Whitefield,Whitefield,Bangalore
Desi Chinese,Delivery,"Chinese, North Indian",3.6,400.0,Marathahalli,East Bangalore,Bangalore
Desi Chinese kitchen,Casual Dining,"Chinese, Asian",3.9,700.0,Indiranagar,Indiranagar,Bangalore
Desi Chopstick,Quick Bites,North Indian,3.8,400.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Desi Chulha,Quick Bites,North Indian,3.7,250.0,Bellandur,Sarjapur Road,Bangalore
Desi Cream Junction,Casual Dining,"Chinese, North Indian, Pizza, Italian",3.7,650.0,Banashankari,Jayanagar,Bangalore
Desi Dawat,Quick Bites,"North Indian, Fast Food",3.7,400.0,Banashankari,Kumaraswamy Layout,Bangalore
Desi Deck,"Casual Dining, Bar","Mughlai, North Indian, Desserts",3.9,1300.0,MG Road,Brigade Road,Bangalore
Desi Dhaba,Delivery,"North Indian, Chinese",3.3,400.0,Bannerghatta Road,BTM,Bangalore
Desi Doze,Quick Bites,"North Indian, Fast Food",3.8,400.0,Brookefield,Whitefield,Bangalore
Desi Flavours,Quick Bites,"North Indian, Chinese, Biryani",3.9,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Desi Foodizzz,Casual Dining,"North Indian, Chinese",3.7,600.0,Brookefield,Brookefield,Bangalore
Desi Grill,Quick Bites,"Chinese, North Indian",3.0,400.0,Kalyan Nagar,Rammurthy Nagar,Bangalore
Desi Inn,Quick Bites,North Indian,3.5,300.0,Basavanagudi,Shanti Nagar,Bangalore
Desi Khana,Quick Bites,"North Indian, Chinese",2.8,300.0,Brookefield,Whitefield,Bangalore
Desi Rasoi,Casual Dining,"Biryani, North Indian, Chinese, Rajasthani",3.8,600.0,Basavanagudi,Jayanagar,Bangalore
Desi Swaad,Quick Bites,North Indian,3.5,400.0,Banashankari,Kumaraswamy Layout,Bangalore
Desi Tadka Khana,"Takeaway, Delivery",North Indian,2.8,400.0,Indiranagar,Thippasandra,Bangalore
Desi Urbane,Quick Bites,"North Indian, Chinese, Biryani",3.6,450.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Desi Vdesi,Quick Bites,"Fast Food, North Indian, Rolls",3.8,250.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Desi Vibes,Casual Dining,North Indian,3.7,400.0,Bannerghatta Road,BTM,Bangalore
Desi Wok,Quick Bites,"North Indian, Chinese",2.7,500.0,Bannerghatta Road,BTM,Bangalore
Desi Zaika,Casual Dining,"North Indian, Chinese, Bengali, Fast Food",2.8,450.0,Marathahalli,Kaggadasapura,Bangalore
Desipun,Casual Dining,North Indian,4.2,500.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Despiwich Dragon's Kitchen,Quick Bites,"Chinese, Fast Food",3.8,250.0,Kammanahalli,Banaswadi,Bangalore
Dessert Rose,Dessert Parlor,Desserts,3.5,500.0,Banashankari,Banashankari,Bangalore
Desserts Tree,Sweet Shop,"Mithai, Desserts",3.8,100.0,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,Bangalore
Dessi Cuppa,Beverage Shop,"Beverages, Fast Food",3.4,250.0,Koramangala 5th Block,BTM,Bangalore
Detox Kitchen,"Takeaway, Delivery","Healthy Food, Beverages, Salad",3.1,500.0,Bellandur,HSR,Bangalore
Dev Sagar - Food Street,Quick Bites,Street Food,4.1,200.0,Banashankari,Basavanagudi,Bangalore
Devanna Dum Biriyani Centre,Quick Bites,"Biryani, South Indian",3.6,300.0,Banashankari,Banashankari,Bangalore
Devi's Cakes N Bakes,Bakery,"Bakery, Desserts",3.6,200.0,Bellandur,Bellandur,Bangalore
Dev's Gugababa,Quick Bites,"Bengali, North Indian, Chinese",3.1,500.0,Jayanagar,BTM,Bangalore
Dhaba - Estd 1986 Delhi,"Casual Dining, Bar",North Indian,4.4,1100.0,Indiranagar,Indiranagar,Bangalore
Dhaba Bytes,Casual Dining,North Indian,4.0,650.0,Koramangala 7th Block,HSR,Bangalore
Dhaba Central,Casual Dining,North Indian,3.3,650.0,HSR,HSR,Bangalore
Dhaba Estd 1986 Delhi,"Casual Dining, Bar","BBQ, Mughlai, Biryani",4.3,1100.0,Marathahalli,Marathahalli,Bangalore
Dhaba Express,"Takeaway, Delivery","Biryani, Fast Food, North Indian, Chinese",3.7,400.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Dhaba Shaba,Quick Bites,"North Indian, Fast Food",3.2,250.0,Bellandur,Sarjapur Road,Bangalore
Dhaba Social,Casual Dining,North Indian,4.0,700.0,Brookefield,Brookefield,Bangalore
Dhabeliwala,Kiosk,"Street Food, Beverages, Gujarati",3.8,250.0,Bannerghatta Road,JP Nagar,Bangalore
Dhadoom,Food Court,"Italian, Mexican, Burger, Fast Food",2.8,450.0,Whitefield,Whitefield,Bangalore
Dhanalakshmi Grand,Quick Bites,"South Indian, North Indian",4.0,300.0,Malleshwaram,Malleshwaram,Bangalore
Dhanbad Food Stall,Quick Bites,"Bihari, North Indian, Chinese",2.8,200.0,Malleshwaram,New BEL Road,Bangalore
Dhang Ka Khana,Quick Bites,North Indian,3.7,200.0,Koramangala 4th Block,Ejipura,Bangalore
Dhanya Nati Style Restaurant,Quick Bites,South Indian,3.1,300.0,Rajajinagar,Rajajinagar,Bangalore
Dharwad Line Bazar Mishra Pedha,Sweet Shop,Mithai,3.4,150.0,Malleshwaram,Malleshwaram,Bangalore
Dhuaan,Cafe,"Cafe, Continental",3.8,800.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Dhyaana,Cafe,"Cafe, Healthy Food, Momos",4.3,600.0,Indiranagar,Indiranagar,Bangalore
Diabetics Dezire Sugarless Sweets and Bakes,"Dessert Parlor, Sweet Shop","Desserts, Mithai",3.3,300.0,Banashankari,Basavanagudi,Bangalore
Dialogues,Cafe,"Cafe, Continental",4.0,600.0,Bannerghatta Road,JP Nagar,Bangalore
Dice N Dine,"Casual Dining, Cafe","Continental, Cafe, Italian, Fast Food, Steak",4.3,900.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Didi's Kitchen,Delivery,"North Indian, Chinese, Fast Food",3.1,400.0,Kalyan Nagar,Nagawara,Bangalore
Dil Punjabi,Quick Bites,North Indian,2.6,300.0,Brookefield,Marathahalli,Bangalore
Dil Se Dilli,Casual Dining,"North Indian, Mughlai",3.8,700.0,Brookefield,Whitefield,Bangalore
Dil Se Punjabi,Casual Dining,"North Indian, Mughlai, Chinese",3.0,550.0,Malleshwaram,RT Nagar,Bangalore
Diletto,Casual Dining,"North Indian, Chinese",3.5,800.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Dilish Kitchens,Casual Dining,"North Indian, Chinese",3.7,500.0,Bannerghatta Road,BTM,Bangalore
Dilli 6,Casual Dining,"North Indian, Chinese",3.2,450.0,Electronic City,Electronic City,Bangalore
Dilli Darbar,Casual Dining,"North Indian, Chinese, Biryani",3.4,500.0,Brookefield,Whitefield,Bangalore
Dilli Dil Se,Casual Dining,North Indian,3.6,400.0,Brookefield,Whitefield,Bangalore
Dilli Dil Se..,Quick Bites,North Indian,3.8,400.0,Kalyan Nagar,Nagawara,Bangalore
Dilli Galli,Quick Bites,North Indian,3.6,200.0,Whitefield,Whitefield,Bangalore
Dilli Highway,Delivery,North Indian,3.0,400.0,Kalyan Nagar,Kammanahalli,Bangalore
Dilli in a Box,"Takeaway, Delivery","Fast Food, North Indian",3.7,400.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
Dilli6 Paratha,"Takeaway, Delivery","North Indian, Chinese",3.0,200.0,HSR,HSR,Bangalore
DilliBite,Quick Bites,"North Indian, Chinese",3.5,600.0,Indiranagar,Ulsoor,Bangalore
Dindigul Thalappakatti,Casual Dining,"Biryani, Chinese, North Indian, South Indian",2.8,800.0,Brigade Road,MG Road,Bangalore
Dindigul Time Pass Restaurant,Casual Dining,"South Indian, North Indian, Chinese, Biryani",3.2,700.0,"Byresandra,Tavarekere,Madiwala",HSR,Bangalore
Dine @ 9 Paratha Corner,Quick Bites,"North Indian, Chinese",3.6,300.0,Old Airport Road,Indiranagar,Bangalore
Dine Garden Family Restaurant,Quick Bites,"Biryani, South Indian, North Indian, Chinese",3.5,400.0,Electronic City,Electronic City,Bangalore
Dine In,Quick Bites,"Kerala, South Indian, North Indian, Chinese",3.5,400.0,Lavelle Road,Brigade Road,Bangalore
Dine in Restaurant,Quick Bites,"South Indian, North Indian, Chinese",3.4,500.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Dine One One Restaurant,Casual Dining,"South Indian, Continental, North Indian",3.6,500.0,Bannerghatta Road,Bannerghatta Road,Bangalore
Dinemaster Gogo's,Quick Bites,"Chinese, Rolls, Beverages",3.4,300.0,HSR,Hosur Road,Bangalore
Dinepost 9,Delivery,"North Indian, Chinese, Biryani",3.6,450.0,Whitefield,Whitefield,Bangalore
DinePost9,Delivery,"North Indian, South Indian, Chinese, Continental",3.8,450.0,Bellandur,Marathahalli,Bangalore
Dining Hut,Quick Bites,"North Indian, Chinese, South Indian",3.5,400.0,Banashankari,Kumaraswamy Layout,Bangalore
Dipd N Chocolate,Cafe,"Cafe, Desserts",2.8,300.0,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,Bangalore
District 6 Pub Brewery & Kitchen,Microbrewery,"German, European, Pizza, American, North Indian, Chinese",4.3,1800.0,Malleshwaram,Malleshwaram,Bangalore
Dive,"Pub, Casual Dining","Continental, Finger Food",4.3,1300.0,Marathahalli,Marathahalli,Bangalore
Divina - Eden Park Restaurants,Dessert Parlor,Desserts,4.0,400.0,Basavanagudi,Jayanagar,Bangalore
Diya's Findish,Quick Bites,"North Indian, Chinese, Bengali",3.3,500.0,Bannerghatta Road,Bommanahalli,Bangalore
Django,Cafe,"Cafe, Italian, Pizza, Burger, Beverages",4.0,800.0,Indiranagar,Indiranagar,Bangalore
Dock Frost'd,"Beverage Shop, Dessert Parlor","Beverages, Desserts",4.6,400.0,Brookefield,Marathahalli,Bangalore
Doctor Juice,Beverage Shop,"Juices, Healthy Food",3.9,300.0,Kalyan Nagar,Kammanahalli,Bangalore
Dodda Mane Baaduta,Quick Bites,"North Indian, South Indian, Chinese, Biryani",3.5,250.0,Banashankari,Banashankari,Bangalore
Dodda Mane Donne Biryani,Quick Bites,"Biryani, Beverages, South Indian",3.1,400.0,Brookefield,Brookefield,Bangalore
Doff Pub and Lounge,Lounge,"Continental, American, Pizza, North Indian, Chinese, Finger Food, Asian, Thai",4.1,1500.0,Indiranagar,Indiranagar,Bangalore
Dolci Desserts,"Cafe, Dessert Parlor","Cafe, Desserts",4.3,750.0,Brigade Road,Cunningham Road,Bangalore
Dolphin Bar,"Casual Dining, Pub","Chinese, Finger Food, North Indian, Seafood",3.8,1000.0,Frazer Town,Frazer Town,Bangalore
Domino's Pizza,Quick Bites,"Pizza, Fast Food",2.4,400.0,Marathahalli,Marathahalli,Bangalore
Doner Bel,Quick Bites,"Turkish, Chinese",3.4,400.0,New BEL Road,New BEL Road,Bangalore
Donne Biriyani Angadi Mane,Quick Bites,"Biryani, Chinese",3.4,250.0,Malleshwaram,Sadashiv Nagar,Bangalore
Donne Biriyani House,Quick Bites,Biryani,3.1,300.0,Sarjapur Road,Sarjapur Road,Bangalore
Donne Biriyani Mane,Casual Dining,"Biryani, Kebab",3.8,400.0,Indiranagar,Jeevan Bhima Nagar,Bangalore
Donne Biryani,Quick Bites,Biryani,3.2,200.0,Basavanagudi,Shanti Nagar,Bangalore
Donne Biryani & Egg Rice Adda,Quick Bites,"Kebab, Biryani",3.3,200.0,New BEL Road,New BEL Road,Bangalore
Donne Biryani & Kabab Corner,Quick Bites,"Chinese, Biryani",3.3,200.0,Banashankari,Kumaraswamy Layout,Bangalore
Donne Biryani Angadi Mane,Quick Bites,"Biryani, South Indian",3.1,250.0,Indiranagar,Thippasandra,Bangalore
Donne Biryani Hatti,Quick Bites,Biryani,3.6,300.0,Brigade Road,Vasanth Nagar,Bangalore
Donne Biryani House,Delivery,"South Indian, Biryani",3.7,350.0,HSR,HSR,Bangalore
Donne Biryani Kuteera,Quick Bites,Biryani,3.7,200.0,Kalyan Nagar,Banaswadi,Bangalore
Donne Biryani Mane,Quick Bites,Biryani,3.2,300.0,Brigade Road,Wilson Garden,Bangalore
Donut Cafe,"Dessert Parlor, Quick Bites","Desserts, Fast Food",3.9,250.0,Electronic City,Electronic City,Bangalore
Doof,Delivery,"Fast Food, Beverages",4.0,450.0,Electronic City,Electronic City,Bangalore
Dosa Bazaar,Quick Bites,"Street Food, South Indian",3.9,200.0,"Byresandra,Tavarekere,Madiwala",JP Nagar,Bangalore
Dosa Cafe,Quick Bites,South Indian,3.4,80.0,Rajajinagar,Vijay Nagar,Bangalore
Dosa Corner,Quick Bites,South Indian,2.8,200.0,Bellandur,Sarjapur Road,Bangalore
Dosa Plaza,Quick Bites,"South Indian, North Indian, Chinese, Beverages",3.8,200.0,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Bangalore
Dosa Time,Takeaway,South Indian,3.8,200.0,Bellandur,Sarjapur Road,Bangalore
Dosalicious,Quick Bites,South Indian,3.3,150.0,"Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Bangalore
Dose Manjanna,Quick Bites,South Indian,2.8,100.0,Basavanagudi,Jayanagar,Bangalore
Dot.yum - Aloft Hotel,Casual Dining,"Italian, North Indian, Continental, BBQ",3.9,2000.0,Whitefield,Whitefield,Bangalore
Double Blend,Beverage Shop,"Beverages, Juices, Ice Cream",3.6,200.0,"Byresandra,Tavarekere,Madiwala",BTM,Bangalore
Double Decker,"Bar, Casual Dining","Continental, North Indian",4.3,1300.0,Brigade Road,Brigade Road,Bangalore
Downtown,Pub,"North Indian, Continental",3.7,1000.0,Brigade Road,Residency Road,Bangalore
